Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1978-01-01,00:43:04,no calculable,15.91,-96.78,33.0,"31 km al ESTE de PUERTO ESCONDIDO, OAX",1978-01-01,06:43:04,revisado
1978-01-01,00:57:47,no calculable,14.97,-92.61,45.0,"24 km al SUROESTE de HUIXTLA, CHIS",1978-01-01,06:57:47,revisado
1978-01-01,01:20:20,no calculable,17.84,-96.99,33.0,"40 km al ESTE de TEPELMEME, OAX",1978-01-01,07:20:20,revisado
1978-01-01,02:24:44,no calculable,14.83,-93.87,33.0,"118 km al SUROESTE de PIJIJIAPAN, CHIS",1978-01-01,08:24:44,revisado
1978-01-01,03:39:41,no calculable,15.22,-97.42,33.0,"80 km al SUROESTE de PUERTO ESCONDIDO, OAX",1978-01-01,09:39:41,revisado
1978-01-01,03:52:20,no calculable,14.66,-92.46,45.0,"33 km al OESTE de CD HIDALGO, CHIS",1978-01-01,09:52:20,revisado
1978-01-01,04:59:04,no calculable,13.5,-92.48,33.0,"135 km al SUROESTE de CD HIDALGO, CHIS",1978-01-01,10:59:04,revisado
1978-01-01,05:52:47,no calculable,14.36,-92.03,33.0,"38 km al SURESTE de CD HIDALGO, CHIS",1978-01-01,11:52:47,revisado
1978-01-01,07:14:00,no calculable,17.58,-95.08,100.0,"36 km al SUROESTE de SAYULA DE ALEMAN, VER",1978-01-01,13:14:00,revisado
1978-01-01,07:40:54,no calculable,16.23,-98.61,45.0,"55 km al SUROESTE de OMETEPEC, GRO",1978-01-01,13:40:54,revisado
1978-01-01,08:22:56,no calculable,17.92,-93.75,33.0,"36 km al ESTE de LAS CHOAPAS, VER",1978-01-01,14:22:56,revisado
1978-01-01,08:36:30,no calculable,18.24,-101.92,33.0,"40 km al NORESTE de LAS GUACAMAYAS, MICH",1978-01-01,14:36:30,revisado
1978-01-01,09:54:31,no calculable,14.58,-92.69,33.0,"59 km al SUROESTE de TAPACHULA, CHIS",1978-01-01,15:54:31,revisado
1978-01-01,09:55:01,no calculable,15.67,-94.02,33.0,"54 km al SUROESTE de TONALA, CHIS",1978-01-01,15:55:01,revisado
1978-01-01,10:26:51,no calculable,15.45,-95.05,33.0,"82 km al SUR de SALINA CRUZ, OAX",1978-01-01,16:26:51,revisado
1978-01-01,10:55:28,no calculable,15.72,-97.83,33.0,"53 km al SUROESTE de RIO GRANDE, OAX",1978-01-01,16:55:28,revisado
1978-01-01,11:13:27,no calculable,16.25,-95.38,33.0,"17 km al SUROESTE de TEHUANTEPEC, OAX",1978-01-01,17:13:27,revisado
1978-01-01,12:06:49,no calculable,15.7,-97.75,33.0,"48 km al SUROESTE de RIO GRANDE, OAX",1978-01-01,18:06:49,revisado
1978-01-01,13:48:19,no calculable,15.89,-95.33,60.0,"35 km al SUROESTE de SALINA CRUZ, OAX",1978-01-01,19:48:19,revisado
1978-01-01,14:35:08,no calculable,15.5,-93.35,33.0,"26 km al SUROESTE de PIJIJIAPAN, CHIS",1978-01-01,20:35:08,revisado
1978-01-01,16:31:12,no calculable,16.01,-94.68,33.0,"54 km al SURESTE de UNION HIDALGO, OAX",1978-01-01,22:31:12,revisado
1978-01-01,17:06:22,no calculable,13.55,-92.2,33.0,"125 km al SUR de CD HIDALGO, CHIS",1978-01-01,23:06:22,revisado
1978-01-02,03:52:20,no calculable,14.66,-92.46,45.0,"33 km al OESTE de CD HIDALGO, CHIS",1978-01-02,09:52:20,revisado
1978-01-03,04:21:04,no calculable,13.71,-91.09,33.0,"157 km al SURESTE de CD HIDALGO, CHIS",1978-01-03,10:21:04,revisado
1978-01-04,04:59:04,no calculable,13.5,-92.48,33.0,"135 km al SUROESTE de CD HIDALGO, CHIS",1978-01-04,10:59:04,revisado
1978-01-04,05:06:43,no calculable,13.56,-91.82,33.0,"129 km al SURESTE de CD HIDALGO, CHIS",1978-01-04,11:06:43,revisado
1978-01-04,06:40:50,no calculable,15.57,-90.42,33.0,"185 km al ESTE de FRONTERA COMALAPA, CHIS",1978-01-04,12:40:50,revisado
1978-01-05,05:52:47,no calculable,14.36,-92.03,33.0,"38 km al SURESTE de CD HIDALGO, CHIS",1978-01-05,11:52:47,revisado
1978-01-05,09:54:31,no calculable,14.58,-92.69,33.0,"59 km al SUROESTE de TAPACHULA, CHIS",1978-01-05,15:54:31,revisado
1978-01-07,04:17:03,3.1,31.92,-116.6,5.0,"6 km al NORTE de ENSENADA, BC",1978-01-07,10:17:03,revisado
1978-01-07,09:33:05,3.3,31.87,-116.63,10.0,"2 km al NOROESTE de ENSENADA, BC",1978-01-07,15:33:05,revisado
1978-01-07,13:48:19,no calculable,15.89,-95.33,60.0,"35 km al SUROESTE de SALINA CRUZ, OAX",1978-01-07,19:48:19,revisado
1978-01-07,16:31:12,no calculable,16.01,-94.68,33.0,"54 km al SURESTE de UNION HIDALGO, OAX",1978-01-07,22:31:12,revisado
1978-01-08,05:34:22,3.0,32.78,-88.25,5.0,"1179 km al NORESTE de H MATAMOROS, TAMS",1978-01-08,11:34:22,revisado
1978-01-09,14:37:50,no calculable,15.19,-93.93,33.0,"95 km al SUROESTE de PIJIJIAPAN, CHIS",1978-01-09,20:37:50,revisado
1978-01-09,19:23:39,no calculable,13.76,-92.42,33.0,"106 km al SUROESTE de CD HIDALGO, CHIS",1978-01-10,01:23:39,revisado
1978-01-10,02:50:21,no calculable,13.66,-91.25,33.0,"149 km al SURESTE de CD HIDALGO, CHIS",1978-01-10,08:50:21,revisado
1978-01-10,05:33:08,no calculable,15.38,-96.85,33.0,"58 km al SUROESTE de S PEDRO POCHUTLA, OAX",1978-01-10,11:33:08,revisado
1978-01-10,06:40:51,no calculable,13.63,-92.14,33.0,"116 km al SUR de CD HIDALGO, CHIS",1978-01-10,12:40:51,revisado
1978-01-10,09:43:47,no calculable,16.76,-94.36,33.0,"59 km al NORESTE de UNION HIDALGO, OAX",1978-01-10,15:43:47,revisado
1978-01-10,18:22:28,no calculable,15.94,-96.51,33.0,"22 km al NORTE de S PEDRO POCHUTLA, OAX",1978-01-11,00:22:28,revisado
1978-01-11,04:18:29,no calculable,17.62,-101.69,33.0,"15 km al OESTE de ZIHUATANEJO, GRO",1978-01-11,10:18:29,revisado
1978-01-11,12:42:57,no calculable,18.13,-101.95,33.0,"30 km al NORESTE de LAS GUACAMAYAS, MICH",1978-01-11,18:42:57,revisado
1978-01-11,14:06:32,no calculable,18.5,-101.55,33.0,"70 km al OESTE de HUETAMO, MICH",1978-01-11,20:06:32,revisado
1978-01-12,01:27:08,no calculable,16.82,-101.24,33.0,"79 km al SUROESTE de TECPAN, GRO",1978-01-12,07:27:08,revisado
1978-01-12,12:57:48,no calculable,16.2,-96.36,33.0,"29 km al SURESTE de MIAHUATLAN, OAX",1978-01-12,18:57:48,revisado
1978-01-13,06:53:14,no calculable,15.57,-96.65,33.0,"28 km al SUROESTE de S PEDRO POCHUTLA, OAX",1978-01-13,12:53:14,revisado
1978-01-13,07:12:06,no calculable,15.63,-97.04,33.0,"26 km al SUR de PUERTO ESCONDIDO, OAX",1978-01-13,13:12:06,revisado
1978-01-13,08:01:56,no calculable,15.82,-96.63,33.0,"20 km al NOROESTE de S PEDRO POCHUTLA, OAX",1978-01-13,14:01:56,revisado
1978-01-13,09:57:49,no calculable,17.51,-95.93,33.0,"66 km al SUR de LOMA BONITA, OAX",1978-01-13,15:57:49,revisado
1978-01-15,14:05:49,no calculable,15.62,-93.3,33.0,"12 km al SUROESTE de PIJIJIAPAN, CHIS",1978-01-15,20:05:49,revisado
1978-01-16,02:30:49,no calculable,16.81,-99.75,33.0,"17 km al SURESTE de ACAPULCO, GRO",1978-01-16,08:30:49,revisado
1978-01-16,08:43:35,no calculable,15.96,-99.48,33.0,"93 km al SUR de SAN MARCOS, GRO",1978-01-16,14:43:35,revisado
1978-01-17,07:49:52,no calculable,15.67,-94.67,33.0,"80 km al SURESTE de SALINA CRUZ, OAX",1978-01-17,13:49:52,revisado
1978-01-17,13:58:51,3.0,32.02,-115.78,2.0,"70 km al SUROESTE de SANTA ISABEL, BC",1978-01-17,19:58:51,revisado
1978-01-17,21:15:16,no calculable,17.7,-94.06,33.0,"23 km al SUR de LAS CHOAPAS, VER",1978-01-18,03:15:16,revisado
1978-01-19,00:53:16,no calculable,14.07,-92.83,33.0,"99 km al SUROESTE de CD HIDALGO, CHIS",1978-01-19,06:53:16,revisado
1978-01-19,00:55:40,no calculable,14.21,-91.86,33.0,"61 km al SURESTE de CD HIDALGO, CHIS",1978-01-19,06:55:40,revisado
1978-01-19,20:12:31,no calculable,13.6,-92.65,33.0,"131 km al SUROESTE de CD HIDALGO, CHIS",1978-01-20,02:12:31,revisado
1978-01-21,16:40:30,no calculable,17.77,-102.82,16.0,"60 km al SUROESTE de LA MIRA, MICH",1978-01-21,22:40:30,revisado
1978-01-22,18:07:50,no calculable,16.42,-94.62,33.0,"23 km al SURESTE de UNION HIDALGO, OAX",1978-01-23,00:07:50,revisado
1978-01-23,06:27:04,no calculable,15.59,-95.27,33.0,"66 km al SUR de SALINA CRUZ, OAX",1978-01-23,12:27:04,revisado
1978-01-23,12:45:19,no calculable,15.23,-94.72,33.0,"117 km al SURESTE de SALINA CRUZ, OAX",1978-01-23,18:45:19,revisado
1978-01-24,03:43:31,no calculable,17.6,-102.44,33.0,"46 km al SUROESTE de CD LAZARO CARDENAS, MICH",1978-01-24,09:43:31,revisado
1978-01-24,05:55:26,4.6,19.72,-109.47,33.0,"354 km al SUR de CABO SAN LUCAS, BCS",1978-01-24,11:55:26,revisado
1978-01-24,18:22:56,no calculable,16.96,-95.18,33.0,"18 km al NOROESTE de MATIAS ROMERO, OAX",1978-01-25,00:22:56,revisado
1978-01-24,23:34:05,no calculable,14.58,-94.93,60.0,"179 km al SUR de SALINA CRUZ, OAX",1978-01-25,05:34:05,revisado
1978-01-25,20:30:42,no calculable,17.43,-95.11,33.0,"52 km al SUROESTE de SAYULA DE ALEMAN, VER",1978-01-26,02:30:42,revisado
1978-01-25,22:18:59,no calculable,17.92,-95.59,33.0,"14 km al SUROESTE de ISLA, VER",1978-01-26,04:18:59,revisado
1978-01-26,01:42:40,4.7,18.22,-105.6,33.0,"157 km al SUROESTE de CIHUATLAN, JAL",1978-01-26,07:42:40,revisado
1978-01-26,02:13:09,no calculable,15.82,-95.27,33.0,"41 km al SUR de SALINA CRUZ, OAX",1978-01-26,08:13:09,revisado
1978-01-28,00:44:31,no calculable,15.44,-94.69,33.0,"98 km al SURESTE de SALINA CRUZ, OAX",1978-01-28,06:44:31,revisado
1978-01-28,04:14:33,no calculable,15.21,-95.71,100.0,"77 km al SURESTE de CRUCECITA, OAX",1978-01-28,10:14:33,revisado
1978-01-28,05:09:54,no calculable,18.29,-94.6,33.0,"24 km al NOROESTE de COATZACOALCOS, VER",1978-01-28,11:09:54,revisado
1978-01-28,16:05:26,no calculable,14.2,-95.96,33.0,"174 km al SUR de CRUCECITA, OAX",1978-01-28,22:05:26,revisado
1978-01-29,07:31:28,4.2,18.31,-102.92,108.0,"58 km al SURESTE de COALCOMAN, MICH",1978-01-29,13:31:28,revisado
1978-01-30,10:31:21,no calculable,16.11,-93.8,33.0,"5 km al NOROESTE de TONALA, CHIS",1978-01-30,16:31:21,revisado
1978-01-30,19:04:13,no calculable,17.23,-100.07,33.0,"25 km al NORTE de COYUCA DE BENITEZ, GRO",1978-01-31,01:04:13,revisado
1978-02-01,14:36:50,no calculable,16.71,-101.33,33.0,"92 km al SUR de PETATLAN, GRO",1978-02-01,20:36:50,revisado
1978-02-01,19:43:51,no calculable,15.4,-97.6,33.0,"70 km al SUR de RIO GRANDE, OAX",1978-02-02,01:43:51,revisado
1978-02-01,21:46:53,no calculable,17.31,-94.79,33.0,"55 km al NORESTE de MATIAS ROMERO, OAX",1978-02-02,03:46:53,revisado
1978-02-02,08:08:44,3.0,32.97,-115.85,2.0,"45 km al NOROESTE de SANTA ISABEL, BC",1978-02-02,14:08:44,revisado
1978-02-02,17:04:36,no calculable,13.08,-88.4,76.0,"442 km al SURESTE de CD HIDALGO, CHIS",1978-02-02,23:04:36,revisado
1978-02-03,00:46:06,no calculable,16.92,-102.35,33.0,"116 km al SUR de CD LAZARO CARDENAS, MICH",1978-02-03,06:46:06,revisado
1978-02-03,03:37:38,no calculable,14.29,-91.77,33.0,"59 km al SURESTE de CD HIDALGO, CHIS",1978-02-03,09:37:38,revisado
1978-02-03,04:00:58,no calculable,14.97,-92.96,33.0,"53 km al SUR de MAPASTEPEC, CHIS",1978-02-03,10:00:58,revisado
1978-02-03,07:04:34,no calculable,17.97,-96.63,33.0,"55 km al OESTE de TUXTEPEC, OAX",1978-02-03,13:04:34,revisado
1978-02-03,11:57:20,no calculable,13.98,-91.76,33.0,"88 km al SURESTE de CD HIDALGO, CHIS",1978-02-03,17:57:20,revisado
1978-02-03,12:38:51,no calculable,14.0,-93.8,33.0,"187 km al SUROESTE de MAPASTEPEC, CHIS",1978-02-03,18:38:51,revisado
1978-02-04,08:29:41,no calculable,13.8,-93.63,33.0,"187 km al SUROESTE de CD HIDALGO, CHIS",1978-02-04,14:29:41,revisado
1978-02-05,04:59:27,no calculable,17.93,-102.14,33.0,"8 km al SURESTE de CD LAZARO CARDENAS, MICH",1978-02-05,10:59:27,revisado
1978-02-05,11:54:57,no calculable,18.28,-94.18,33.0,"16 km al NORTE de AGUA DULCE, VER",1978-02-05,17:54:57,revisado
1978-02-06,01:07:27,no calculable,16.82,-96.2,33.0,"33 km al SURESTE de TLACOLULA, OAX",1978-02-06,07:07:27,revisado
1978-02-06,20:36:47,no calculable,16.25,-93.92,33.0,"3 km al NOROESTE de ARRIAGA , CHIS",1978-02-07,02:36:47,revisado
1978-02-07,11:10:56,no calculable,16.05,-99.5,33.0,"83 km al SUR de SAN MARCOS, GRO",1978-02-07,17:10:56,revisado
1978-02-08,02:47:27,no calculable,14.99,-93.63,33.0,"89 km al SUROESTE de PIJIJIAPAN, CHIS",1978-02-08,08:47:27,revisado
1978-02-08,04:13:37,no calculable,17.78,-95.71,33.0,"33 km al SUROESTE de ISLA, VER",1978-02-08,10:13:37,revisado
1978-02-08,11:04:03,no calculable,14.07,-92.25,33.0,"68 km al SUR de CD HIDALGO, CHIS",1978-02-08,17:04:03,revisado
1978-02-08,21:55:33,no calculable,14.16,-92.15,33.0,"57 km al SUR de CD HIDALGO, CHIS",1978-02-09,03:55:33,revisado
1978-02-09,04:19:24,no calculable,17.28,-95.25,33.0,"50 km al NOROESTE de MATIAS ROMERO, OAX",1978-02-09,10:19:24,revisado
1978-02-09,19:27:15,no calculable,13.45,-91.99,33.0,"137 km al SUR de CD HIDALGO, CHIS",1978-02-10,01:27:15,revisado
1978-02-10,00:19:49,no calculable,15.77,-94.06,33.0,"48 km al SUROESTE de TONALA, CHIS",1978-02-10,06:19:49,revisado
1978-02-10,07:53:09,no calculable,18.45,-90.92,33.0,"26 km al SUROESTE de ESCARCEGA, CAMP",1978-02-10,13:53:09,revisado
1978-02-10,14:39:37,no calculable,15.35,-96.85,33.0,"60 km al SUROESTE de S PEDRO POCHUTLA, OAX",1978-02-10,20:39:37,revisado
1978-02-11,02:11:28,no calculable,17.66,-95.71,33.0,"45 km al SUROESTE de ISLA, VER",1978-02-11,08:11:28,revisado
1978-02-11,13:37:30,no calculable,14.0,-91.2,33.0,"127 km al SURESTE de CD HIDALGO, CHIS",1978-02-11,19:37:30,revisado
1978-02-12,06:10:26,no calculable,14.15,-92.48,33.0,"68 km al SUROESTE de CD HIDALGO, CHIS",1978-02-12,12:10:26,revisado
1978-02-12,06:16:33,no calculable,13.44,-92.65,33.0,"147 km al SUROESTE de CD HIDALGO, CHIS",1978-02-12,12:16:33,revisado
1978-02-12,13:57:12,no calculable,15.85,-98.15,33.0,"55 km al SUR de PINOTEPA NACIONAL, OAX",1978-02-12,19:57:12,revisado
1978-02-12,15:33:29,no calculable,17.37,-95.55,33.0,"71 km al SUR de J RODRIGUEZ CLARA, VER",1978-02-12,21:33:29,revisado
1978-02-12,16:55:09,no calculable,17.34,-95.24,33.0,"56 km al NOROESTE de MATIAS ROMERO, OAX",1978-02-12,22:55:09,revisado
1978-02-12,22:40:25,no calculable,13.42,-92.13,33.0,"139 km al SUR de CD HIDALGO, CHIS",1978-02-13,04:40:25,revisado
1978-02-12,23:15:54,no calculable,14.24,-93.7,33.0,"159 km al SUROESTE de MAPASTEPEC, CHIS",1978-02-13,05:15:54,revisado
1978-02-13,00:59:36,no calculable,18.0,-94.48,33.0,"8 km al ESTE de MINATITLAN, VER",1978-02-13,06:59:36,revisado
1978-02-13,03:08:03,no calculable,17.44,-94.48,33.0,"61 km al SUR de MINATITLAN, VER",1978-02-13,09:08:03,revisado
1978-02-14,01:03:27,no calculable,15.71,-93.81,33.0,"42 km al SUR de TONALA, CHIS",1978-02-14,07:03:27,revisado
1978-02-14,15:34:38,no calculable,13.41,-92.16,33.0,"140 km al SUR de CD HIDALGO, CHIS",1978-02-14,21:34:38,revisado
1978-02-15,23:11:31,3.1,31.97,-116.27,5.0,"34 km al NORESTE de ENSENADA, BC",1978-02-16,05:11:31,revisado
1978-02-17,20:34:43,no calculable,14.84,-92.45,33.0,"22 km al SUROESTE de TAPACHULA, CHIS",1978-02-18,02:34:43,revisado
1978-02-19,01:09:29,no calculable,14.8,-92.98,33.0,"67 km al SUROESTE de HUIXTLA, CHIS",1978-02-19,07:09:29,revisado
1978-02-19,13:42:43,5.1,13.68,-90.69,74.0,"192 km al SURESTE de CD HIDALGO, CHIS",1978-02-19,19:42:43,revisado
1978-02-19,23:00:04,no calculable,17.98,-95.22,33.0,"19 km al ESTE de J RODRIGUEZ CLARA, VER",1978-02-20,05:00:04,revisado
1978-02-20,11:15:36,no calculable,14.66,-92.14,33.0,"2 km al SURESTE de CD HIDALGO, CHIS",1978-02-20,17:15:36,revisado
1978-02-21,04:16:27,no calculable,15.3,-93.23,33.0,"40 km al SUROESTE de MAPASTEPEC, CHIS",1978-02-21,10:16:27,revisado
1978-02-21,18:22:22,no calculable,15.46,-98.76,33.0,"123 km al SUROESTE de PINOTEPA NACIONAL, OAX",1978-02-22,00:22:22,revisado
1978-02-22,00:07:38,no calculable,14.17,-92.12,33.0,"56 km al SUR de CD HIDALGO, CHIS",1978-02-22,06:07:38,revisado
1978-02-22,01:34:39,no calculable,13.96,-92.01,33.0,"81 km al SUR de CD HIDALGO, CHIS",1978-02-22,07:34:39,revisado
1978-02-22,02:04:58,no calculable,14.9,-92.62,33.0,"31 km al SUROESTE de HUIXTLA, CHIS",1978-02-22,08:04:58,revisado
1978-02-22,02:59:40,no calculable,13.58,-91.92,33.0,"124 km al SUR de CD HIDALGO, CHIS",1978-02-22,08:59:40,revisado
1978-02-22,03:42:30,no calculable,13.95,-92.27,33.0,"82 km al SUR de CD HIDALGO, CHIS",1978-02-22,09:42:30,revisado
1978-02-22,06:35:37,no calculable,13.45,-91.85,33.0,"140 km al SUR de CD HIDALGO, CHIS",1978-02-22,12:35:37,revisado
1978-02-22,13:31:40,no calculable,13.7,-91.4,33.0,"135 km al SURESTE de CD HIDALGO, CHIS",1978-02-22,19:31:40,revisado
1978-02-22,13:42:20,no calculable,13.91,-92.06,33.0,"86 km al SUR de CD HIDALGO, CHIS",1978-02-22,19:42:20,revisado
1978-02-22,20:03:20,no calculable,13.71,-92.28,33.0,"108 km al SUR de CD HIDALGO, CHIS",1978-02-23,02:03:20,revisado
1978-02-23,02:28:36,no calculable,14.83,-92.96,33.0,"63 km al SUROESTE de HUIXTLA, CHIS",1978-02-23,08:28:36,revisado
1978-02-23,10:43:03,3.6,32.82,-115.6,19.0,"21 km al NORTE de SANTA ISABEL, BC",1978-02-23,16:43:03,revisado
1978-02-23,12:05:55,no calculable,15.16,-93.28,33.0,"52 km al SUROESTE de MAPASTEPEC, CHIS",1978-02-23,18:05:55,revisado
1978-02-23,12:25:42,no calculable,14.97,-93.2,33.0,"62 km al SUROESTE de MAPASTEPEC, CHIS",1978-02-23,18:25:42,revisado
1978-02-23,15:30:37,no calculable,17.87,-94.4,33.0,"21 km al SURESTE de MINATITLAN, VER",1978-02-23,21:30:37,revisado
1978-02-23,23:47:36,no calculable,13.55,-92.1,33.0,"125 km al SUR de CD HIDALGO, CHIS",1978-02-24,05:47:36,revisado
1978-02-24,05:33:09,no calculable,15.34,-95.8,33.0,"59 km al SURESTE de CRUCECITA, OAX",1978-02-24,11:33:09,revisado
1978-02-24,05:44:37,no calculable,14.98,-95.63,33.0,"103 km al SURESTE de CRUCECITA, OAX",1978-02-24,11:44:37,revisado
1978-02-24,18:14:13,no calculable,13.15,-91.43,33.0,"186 km al SURESTE de CD HIDALGO, CHIS",1978-02-25,00:14:13,revisado
1978-02-24,20:33:21,no calculable,13.63,-92.06,33.0,"116 km al SUR de CD HIDALGO, CHIS",1978-02-25,02:33:21,revisado
1978-02-25,02:10:48,no calculable,16.4,-101.1,33.0,"104 km al SUROESTE de TECPAN, GRO",1978-02-25,08:10:48,revisado
1978-02-25,12:40:36,no calculable,13.72,-92.55,33.0,"114 km al SUROESTE de CD HIDALGO, CHIS",1978-02-25,18:40:36,revisado
1978-02-25,15:36:37,no calculable,17.79,-94.93,33.0,"11 km al SURESTE de SAYULA DE ALEMAN, VER",1978-02-25,21:36:37,revisado
1978-02-25,22:54:09,no calculable,18.67,-100.88,33.0,"5 km al NORESTE de HUETAMO, MICH",1978-02-26,04:54:09,revisado
1978-02-26,19:17:27,no calculable,19.61,-105.18,33.0,"77 km al NOROESTE de CIHUATLAN, JAL",1978-02-27,01:17:27,revisado
1978-02-27,13:27:22,4.7,23.95,-109.08,10.0,"117 km al NORESTE de SAN JOSE DEL CABO, BCS",1978-02-27,19:27:22,revisado
1978-02-28,04:27:06,no calculable,17.3,-94.12,33.0,"68 km al SUR de LAS CHOAPAS, VER",1978-02-28,10:27:06,revisado
1978-03-01,11:48:19,no calculable,16.85,-100.74,33.0,"43 km al SUROESTE de TECPAN, GRO",1978-03-01,17:48:19,revisado
