nivel_tiempo,anio,subperiodo,total_sismos,magnitud_maxima
anual,1900,0,2,7.4
anual,1901,0,2,7.0
anual,1902,0,4,7.7
anual,1903,0,1,7.6
anual,1905,0,2,7.1
anual,1906,0,1,7.1
anual,1907,0,2,7.6
anual,1908,0,3,7.5
anual,1909,0,4,7.2
anual,1910,0,2,6.9
anual,1911,0,4,7.6
anual,1912,0,2,7.0
anual,1914,0,1,7.2
anual,1915,0,2,7.4
anual,1916,0,2,7.0
anual,1917,0,1,6.9
anual,1918,0,2,6.8
anual,1919,0,1,6.9
anual,1920,0,2,6.7
anual,1921,0,2,7.4
anual,1922,0,1,6.7
anual,1925,0,3,7.0
anual,1928,0,7,7.6
anual,1931,0,2,7.8
anual,1932,0,7,8.2
anual,1933,0,2,6.9
anual,1934,0,3,7.1
anual,1935,0,2,7.3
anual,1937,0,4,7.4
anual,1939,0,2,6.7
anual,1940,0,2,7.1
anual,1941,0,1,7.6
anual,1942,0,3,7.9
anual,1943,0,3,7.4
anual,1944,0,2,7.1
anual,1945,0,4,6.8
anual,1946,0,2,6.9
anual,1948,0,4,7.0
anual,1950,0,5,7.2
anual,1951,0,2,7.0
anual,1953,0,2,6.7
anual,1954,0,1,7.0
anual,1955,0,3,6.9
anual,1956,0,1,6.7
anual,1957,0,2,7.8
anual,1959,0,2,6.8
anual,1960,0,1,6.9
anual,1961,0,1,6.6
anual,1962,0,2,7.1
anual,1963,0,1,6.5
anual,1964,0,2,7.2
anual,1965,0,2,7.4
anual,1968,0,3,7.3
anual,1969,0,3,6.7
anual,1970,0,3,7.3
anual,1971,0,1,6.5
anual,1972,0,2,6.6
anual,1973,0,2,7.6
anual,1974,0,139,6.3
anual,1975,0,194,6.5
anual,1976,0,189,7.5
anual,1977,0,109,5.9
anual,1978,0,186,7.6
anual,1979,0,290,7.4
anual,1980,0,294,7.1
anual,1981,0,106,7.3
anual,1982,0,176,7.3
anual,1983,0,262,7.0
anual,1984,0,200,6.2
anual,1985,0,244,8.1
anual,1986,0,130,7.0
anual,1987,0,99,6.5
anual,1988,0,1127,6.6
anual,1989,0,1030,6.8
anual,1990,0,795,6.2
anual,1991,0,724,6.1
anual,1992,0,613,5.6
anual,1993,0,915,7.2
anual,1994,0,622,6.8
anual,1995,0,678,8.0
anual,1996,0,789,7.1
anual,1997,0,1006,7.1
anual,1998,0,1022,6.7
anual,1999,0,1098,7.4
anual,2000,0,1043,7.0
anual,2001,0,1335,6.5
anual,2002,0,1688,6.7
anual,2003,0,1323,7.6
anual,2004,0,1346,6.4
anual,2005,0,1210,5.9
anual,2006,0,1356,6.6
