hora,dia_semana,mes,estacion,total_sismos,magnitud_promedio
22,Tuesday,9,otono,303,3.319471947194719
4,Saturday,9,otono,297,3.3353535353535353
0,Tuesday,2,invierno,292,3.464041095890411
2,Saturday,10,otono,291,3.1869415807560135
3,Saturday,10,otono,287,3.116376306620209
0,Saturday,10,otono,287,3.2728222996515677
2,Wednesday,1,invierno,285,3.4750877192982457
4,Thursday,10,otono,281,3.1946619217081853
0,Wednesday,1,invierno,280,3.517142857142857
22,Monday,9,otono,280,3.1060714285714286
4,Tuesday,9,otono,278,3.1093525179856116
4,Thursday,9,otono,277,3.2444043321299643
1,Thursday,10,otono,277,3.1960288808664257
3,Saturday,9,otono,277,3.3891696750902525
23,Tuesday,9,otono,275,3.256
6,Saturday,2,invierno,275,3.290909090909091
5,Sunday,9,otono,273,3.2285714285714286
6,Tuesday,9,otono,273,2.993772893772894
5,Wednesday,9,otono,273,3.1787545787545786
0,Friday,1,invierno,272,3.5566176470588236
6,Sunday,1,invierno,272,3.4529411764705884
2,Monday,9,otono,272,3.2253676470588233
22,Thursday,1,invierno,269,3.5223048327137545
6,Sunday,10,otono,269,3.1895910780669143
5,Sunday,1,invierno,268,3.4466417910447764
1,Saturday,10,otono,267,3.210861423220974
1,Friday,1,invierno,267,3.4681647940074907
0,Thursday,10,otono,266,3.157518796992481
1,Tuesday,10,otono,266,3.2725563909774436
1,Wednesday,1,invierno,266,3.5766917293233083
0,Monday,10,otono,265,3.3422641509433966
3,Wednesday,10,otono,265,3.271698113207547
8,Sunday,9,otono,265,3.1939622641509433
0,Wednesday,9,otono,265,3.3452830188679243
23,Thursday,1,invierno,264,3.5518939393939397
23,Friday,9,otono,264,3.466666666666667
22,Saturday,2,invierno,263,3.535361216730038
2,Friday,1,invierno,263,3.5403041825095056
0,Saturday,1,invierno,262,3.5034351145038167
22,Wednesday,11,otono,262,3.4702290076335878
21,Friday,9,otono,262,3.4656488549618323
1,Tuesday,2,invierno,262,3.4538167938931297
0,Saturday,9,otono,262,3.3938931297709924
22,Friday,9,otono,261,3.467432950191571
1,Saturday,9,otono,260,3.3453846153846154
23,Wednesday,1,invierno,259,3.5034749034749035
5,Monday,2,invierno,259,3.465250965250965
5,Sunday,10,otono,258,3.2926356589147288
23,Monday,10,otono,257,3.3315175097276266
17,Monday,9,otono,257,3.1599221789883267
2,Thursday,1,invierno,257,3.5361867704280154
2,Saturday,9,otono,257,3.356420233463035
2,Saturday,1,invierno,256,3.471875
4,Saturday,12,invierno,255,3.5647058823529414
0,Wednesday,10,otono,255,3.3113725490196075
3,Wednesday,2,invierno,254,3.4960629921259843
5,Friday,1,invierno,254,3.4499999999999997
4,Saturday,11,otono,254,3.415748031496063
3,Tuesday,9,otono,254,3.0547244094488186
3,Friday,1,invierno,254,3.5700787401574803
21,Sunday,10,otono,253,3.4193675889328063
1,Tuesday,9,otono,253,3.018181818181818
3,Thursday,10,otono,253,3.3189723320158104
5,Tuesday,9,otono,253,3.183399209486166
20,Tuesday,1,invierno,252,3.5833333333333335
6,Thursday,10,otono,252,3.00515873015873
1,Sunday,10,otono,252,3.3269841269841267
5,Wednesday,1,invierno,252,3.5087301587301587
2,Thursday,9,otono,252,3.255952380952381
5,Wednesday,10,otono,251,3.3820717131474103
1,Tuesday,1,invierno,251,3.5358565737051793
0,Tuesday,9,otono,250,3.238
5,Monday,9,otono,250,3.2908000000000004
20,Monday,9,otono,250,3.2776
6,Wednesday,9,otono,249,3.147389558232932
2,Saturday,12,invierno,249,3.546586345381526
3,Tuesday,2,invierno,249,3.462248995983936
4,Wednesday,1,invierno,249,3.5080321285140563
4,Saturday,2,invierno,249,3.505622489959839
0,Saturday,2,invierno,249,3.5285140562248998
3,Wednesday,9,otono,248,3.3725806451612903
2,Wednesday,9,otono,248,3.2475806451612903
5,Thursday,10,otono,248,3.109274193548387
23,Monday,9,otono,248,3.107661290322581
1,Thursday,9,otono,248,3.366129032258064
23,Monday,1,invierno,247,3.502834008097166
0,Wednesday,2,invierno,247,3.4842105263157896
5,Monday,10,otono,247,3.291902834008097
2,Tuesday,9,otono,246,3.1951219512195124
4,Saturday,10,otono,246,3.219918699186992
23,Friday,1,invierno,246,3.4768292682926827
1,Saturday,1,invierno,246,3.491869918699187
21,Monday,9,otono,246,3.0678861788617886
3,Monday,1,invierno,246,3.5548780487804876
18,Monday,9,otono,245,3.128163265306122
3,Saturday,1,invierno,245,3.551836734693878
21,Wednesday,9,otono,245,3.1767346938775507
13,Friday,1,invierno,245,3.533061224489796
4,Wednesday,9,otono,245,3.3159183673469386
22,Tuesday,2,invierno,245,3.4738775510204083
7,Tuesday,9,otono,245,3.0563265306122447
2,Sunday,10,otono,244,3.1651639344262295
0,Saturday,11,otono,244,3.540573770491803
23,Tuesday,2,invierno,243,3.480246913580247
23,Wednesday,9,otono,243,3.3325102880658433
22,Tuesday,11,otono,243,3.51358024691358
1,Wednesday,9,otono,243,3.3666666666666667
0,Tuesday,10,otono,243,3.28559670781893
23,Tuesday,10,otono,242,3.516115702479339
19,Tuesday,9,otono,242,3.3181818181818183
6,Saturday,9,otono,242,3.41404958677686
1,Thursday,1,invierno,242,3.5479338842975205
5,Thursday,9,otono,242,3.0950413223140494
3,Thursday,11,otono,242,3.378099173553719
2,Tuesday,1,invierno,242,3.5119834710743802
4,Tuesday,1,invierno,242,3.5235537190082646
0,Sunday,10,otono,241,3.2568464730290456
0,Tuesday,1,invierno,241,3.5311203319502074
23,Wednesday,11,otono,241,3.3730290456431535
22,Friday,1,invierno,241,3.5394190871369293
2,Tuesday,2,invierno,240,3.4445833333333336
1,Sunday,1,invierno,240,3.5258333333333334
23,Sunday,1,invierno,240,3.5679166666666666
3,Thursday,1,invierno,240,3.5283333333333333
8,Friday,1,invierno,240,3.35625
3,Thursday,9,otono,240,3.21
23,Wednesday,2,invierno,240,3.58625
22,Wednesday,3,primavera,239,3.5807531380753135
0,Sunday,3,primavera,239,3.5769874476987447
3,Wednesday,11,otono,239,3.487029288702929
5,Saturday,9,otono,239,3.3581589958158995
1,Wednesday,10,otono,239,3.284518828451883
23,Thursday,12,invierno,239,3.517991631799163
0,Saturday,12,invierno,239,3.5493723849372385
3,Wednesday,1,invierno,239,3.50418410041841
20,Tuesday,9,otono,239,3.207112970711297
2,Tuesday,10,otono,238,3.103781512605042
7,Sunday,10,otono,238,3.037394957983193
6,Friday,1,invierno,238,3.4697478991596635
0,Thursday,1,invierno,238,3.5067226890756302
0,Monday,1,invierno,238,3.4819327731092438
22,Sunday,2,invierno,238,3.462605042016807
3,Saturday,12,invierno,237,3.464978902953587
4,Sunday,12,invierno,237,3.478902953586498
0,Sunday,2,invierno,237,3.548523206751055
4,Friday,10,otono,237,3.350632911392405
3,Sunday,1,invierno,237,3.481012658227848
10,Tuesday,9,otono,237,3.2324894514767935
23,Sunday,3,primavera,237,3.6337552742616035
23,Sunday,10,otono,237,3.4
0,Sunday,1,invierno,237,3.541772151898734
