estado,anio,total_sismos,magnitud_promedio,magnitud_maxima
JAL,1900,2,7.15,7.4
BCS,1901,1,6.9,6.9
SIN,1901,1,7.0,7.0
CHIS,1902,2,7.6,7.7
BCS,1902,1,7.1,7.1
GRO,1902,1,7.0,7.0
CHIS,1903,1,7.6,7.6
BCS,1905,2,6.85,7.1
BCS,1906,1,7.1,7.1
BCS,1907,1,7.1,7.1
GRO,1907,1,7.6,7.6
GRO,1908,2,7.25,7.5
MICH,1908,1,6.9,6.9
GRO,1909,4,6.9,7.2
GRO,1910,1,6.5,6.5
OAX,1910,1,6.9,6.9
OAX,1911,2,6.6,6.7
GRO,1911,1,7.5,7.5
MICH,1911,1,7.6,7.6
CHIS,1912,1,7.0,7.0
MEX,1912,1,6.9,6.9
CHIS,1914,1,7.2,7.2
BC,1915,1,7.0,7.0
CHIS,1915,1,7.4,7.4
GRO,1916,1,6.8,6.8
VER,1916,1,7.0,7.0
OAX,1917,1,6.9,6.9
MICH,1918,1,6.6,6.6
SON,1918,1,6.8,6.8
CHIS,1919,1,6.9,6.9
VER,1920,2,6.550000000000001,6.7
CHIS,1921,1,7.4,7.4
MICH,1921,1,6.5,6.5
SIN,1922,1,6.7,6.7
CHIS,1925,1,7.0,7.0
JAL,1925,1,7.0,7.0
MICH,1925,1,6.7,6.7
OAX,1928,5,7.340000000000001,7.6
CHIH,1928,1,6.3,6.3
PUE,1928,1,6.5,6.5
JAL,1931,1,6.7,6.7
OAX,1931,1,7.8,7.8
COL,1932,3,6.866666666666667,6.9
JAL,1932,2,8.0,8.2
SON,1932,2,6.7,6.7
GRO,1933,1,6.9,6.9
JAL,1933,1,6.6,6.6
BC,1934,1,7.1,7.1
GRO,1934,1,6.8,6.8
JAL,1934,1,7.0,7.0
CHIS,1935,1,7.3,7.3
MICH,1935,1,6.9,6.9
OAX,1937,2,6.95,7.4
GRO,1937,1,6.9,6.9
VER,1937,1,7.3,7.3
BCS,1939,1,6.7,6.7
CHIS,1939,1,6.7,6.7
BC,1940,1,7.1,7.1
CHIS,1940,1,6.7,6.7
MICH,1941,1,7.6,7.6
CHIS,1942,1,7.9,7.9
MICH,1942,1,6.7,6.7
VER,1942,1,6.7,6.7
CHIS,1943,2,6.7,6.7
GRO,1943,1,7.4,7.4
CHIS,1944,1,7.1,7.1
GRO,1944,1,6.5,6.5
BCS,1945,1,6.7,6.7
CHIS,1945,1,6.7,6.7
PUE,1945,1,6.5,6.5
SON,1945,1,6.8,6.8
CHIS,1946,1,6.5,6.5
OAX,1946,1,6.9,6.9
OAX,1948,2,6.95,7.0
NAY,1948,1,6.9,6.9
VER,1948,1,6.5,6.5
JAL,1950,2,6.8,7.0
CHIS,1950,1,7.2,7.2
GRO,1950,1,6.6,6.6
OAX,1950,1,7.2,7.2
GRO,1951,1,6.8,6.8
OAX,1951,1,7.0,7.0
CHIS,1953,1,6.7,6.7
GRO,1953,1,6.7,6.7
BCS,1954,1,7.0,7.0
CHIS,1955,2,6.75,6.9
BCS,1955,1,6.6,6.6
BC,1956,1,6.7,6.7
GRO,1957,1,7.8,7.8
OAX,1957,1,6.7,6.7
OAX,1959,1,6.8,6.8
VER,1959,1,6.4,6.4
OAX,1960,1,6.9,6.9
CHIS,1961,1,6.6,6.6
GRO,1962,2,7.05,7.1
SON,1963,1,6.5,6.5
GRO,1964,1,7.2,7.2
SON,1964,1,6.5,6.5
GRO,1965,1,6.5,6.5
OAX,1965,1,7.4,7.4
OAX,1968,2,6.949999999999999,7.3
GRO,1968,1,6.7,6.7
SIN,1969,3,6.6000000000000005,6.7
CHIS,1970,2,6.9,7.3
GRO,1970,1,6.6,6.6
SON,1971,1,6.5,6.5
JAL,1972,1,6.6,6.6
OAX,1972,1,6.5,6.5
MICH,1973,1,7.6,7.6
VER,1973,1,7.3,7.3
CHIS,1974,55,4.734545454545454,6.1
GRO,1974,21,4.690476190476191,5.6
OAX,1974,16,4.6375,5.6
BC,1974,14,3.8642857142857143,4.9
BCS,1974,8,4.55,4.8
SON,1974,8,4.375,6.3
MICH,1974,7,4.314285714285714,5.1
JAL,1974,3,4.533333333333334,4.9
COL,1974,2,4.35,4.4
VER,1974,2,4.35,4.5
CHIH,1974,1,3.9,3.9
QR,1974,1,3.0,3.0
TAB,1974,1,4.1,4.1
BC,1975,75,3.8280000000000003,5.4
CHIS,1975,48,4.679166666666666,5.6
GRO,1975,16,4.61875,6.0
OAX,1975,16,4.6125,5.6
SIN,1975,11,4.818181818181818,5.7
BCS,1975,10,4.68,6.5
MICH,1975,9,4.933333333333334,5.9
JAL,1975,3,4.5,4.9
SON,1975,2,4.05,4.2
CHIH,1975,1,4.8,4.8
PUE,1975,1,3.9,3.9
QR,1975,1,5.2,5.2
TAMS,1975,1,2.9,2.9
CHIS,1976,71,4.745070422535211,7.5
BC,1976,36,3.55,5.5
SON,1976,18,4.477777777777778,4.9
GRO,1976,13,4.953846153846154,6.5
BCS,1976,7,4.585714285714286,5.2
SIN,1976,7,4.414285714285714,4.7
JAL,1976,6,4.766666666666667,5.3
OAX,1976,6,4.6499999999999995,5.1
HGO,1976,5,4.08,5.1
QR,1976,5,4.58,5.6
MICH,1976,4,5.0,5.5
COL,1976,3,4.633333333333334,4.9
CHIH,1976,2,3.15,3.5
VER,1976,2,4.65,4.8
MEX,1976,1,3.7,3.7
NAY,1976,1,5.5,5.5
PUE,1976,1,4.1,4.1
TAMS,1976,1,3.0,3.0
CHIS,1977,41,4.670731707317073,5.6
BC,1977,27,3.3925925925925924,5.0
JAL,1977,6,4.3500000000000005,4.9
BCS,1977,5,4.64,5.7
SON,1977,5,4.68,5.2
GRO,1977,4,4.175,4.5
QR,1977,4,5.225,5.9
SIN,1977,4,4.375,4.6
CHIH,1977,3,3.4,3.7
MICH,1977,3,4.733333333333333,5.0
OAX,1977,3,4.533333333333334,4.7
VER,1977,2,4.0,4.2
COAH,1977,1,3.5,3.5
COL,1977,1,4.2,4.2
BC,1978,67,3.471641791044776,5.5
OAX,1978,32,4.5375,7.6
CHIS,1978,31,4.796774193548386,6.5
GRO,1978,10,4.720000000000001,6.6
SIN,1978,10,4.37,5.0
SON,1978,10,4.49,5.1
BCS,1978,8,4.8125,5.2
JAL,1978,7,4.457142857142857,5.0
MICH,1978,4,4.925,5.2
COL,1978,2,4.4,4.4
TAMS,1978,2,3.0,3.0
CHIH,1978,1,3.5,3.5
QR,1978,1,4.8,4.8
YUC,1978,1,4.6,4.6
BC,1979,109,3.555045871559633,6.5
OAX,1979,56,3.725,6.9
CHIS,1979,50,4.878,6.8
GRO,1979,25,5.06,7.4
BCS,1979,17,4.464705882352941,5.5
MICH,1979,12,4.6499999999999995,5.5
SIN,1979,7,4.428571428571429,5.0
SON,1979,7,3.5571428571428574,5.2
JAL,1979,3,4.266666666666667,4.4
COL,1979,1,4.6,4.6
MEX,1979,1,4.4,4.4
QR,1979,1,4.6,4.6
VER,1979,1,4.1,4.1
BC,1980,68,3.475,6.4
CHIS,1980,65,4.641538461538461,5.5
OAX,1980,45,4.248888888888889,5.5
GRO,1980,32,4.25625,5.2
SON,1980,23,4.443478260869566,5.2
MEX,1980,17,3.211764705882353,4.5
BCS,1980,6,4.3,4.7
