fecha,Hora,magnitud,latitud,longitud,profundidad,estado,distancia_km,clasificacion_magnitud,Referencia de localizacion
1932-06-03,04:36:52,8.2,19.57,-104.42,33.0,JAL,4.0,great,"4 km al SURESTE de CASIMIRO CASTILLO, JAL"
2017-09-07,23:49:17,8.2,14.761,-94.103,45.9,CHIS,140.0,great,"140 km al SUROESTE de PIJIJIAPAN, CHIS"
1985-09-19,07:17:49,8.1,18.419,-102.468,15.0,MICH,45.0,great,"45 km al NOROESTE de LA MIRA, MICH"
1995-10-09,09:35:54,8.0,18.993,-104.245,25.0,COL,10.0,great,"10 km al SURESTE de MANZANILLO, COL"
1942-08-06,17:36:59,7.9,14.8,-91.3,50.0,CHIS,93.0,major,"93 km al ESTE de CD HIDALGO, CHIS"
1931-01-14,19:50:40,7.8,16.34,-96.87,40.0,OAX,30.0,major,"30 km al OESTE de MIAHUATLAN, OAX"
1932-06-18,04:12:10,7.8,19.5,-103.5,33.0,JAL,14.0,major,"14 km al SUROESTE de TUXPAN, JAL"
1957-07-28,02:40:10,7.8,17.11,-99.1,33.0,GRO,47.0,major,"47 km al NORESTE de SAN MARCOS, GRO"
2022-09-19,13:05:09,7.7,18.2377,-103.269,12.1,MICH,61.0,major,"61 km al SUR de COALCOMAN, MICH"
1902-09-23,14:18:00,7.7,16.5,-92.5,25.0,CHIS,5.0,major,"5 km al SUROESTE de TEOPISCA, CHIS"
1907-04-15,00:08:06,7.6,16.7,-99.2,33.0,GRO,23.0,major,"23 km al SURESTE de SAN MARCOS, GRO"
1928-06-16,21:19:28,7.6,16.33,-96.7,33.0,OAX,11.0,major,"11 km al OESTE de MIAHUATLAN, OAX"
1941-04-15,13:09:51,7.6,18.85,-102.94,33.0,MICH,25.0,major,"25 km al NORESTE de COALCOMAN, MICH"
1911-06-07,05:02:42,7.6,17.5,-102.5,33.0,MICH,59.0,major,"59 km al SUROESTE de CD LAZARO CARDENAS, MICH"
1985-09-20,19:37:14,7.6,17.828,-101.681,17.0,GRO,25.0,major,"25 km al NOROESTE de ZIHUATANEJO, GRO"
2003-01-21,20:06:34,7.6,18.6,-104.22,9.0,COL,46.0,major,"46 km al SUROESTE de CD DE ARMERIA, COL"
1973-01-30,15:01:12,7.6,18.412,-103.019,24.0,MICH,43.0,major,"43 km al SURESTE de COALCOMAN, MICH"
1978-11-29,13:52:50,7.6,16.013,-96.586,23.0,OAX,32.0,major,"32 km al NOROESTE de S PEDRO POCHUTLA, OAX"
1903-01-13,19:47:36,7.6,15.0,-93.0,33.0,CHIS,50.0,major,"50 km al SUR de MAPASTEPEC, CHIS"
1911-12-16,13:14:18,7.5,16.9,-100.7,50.0,GRO,36.0,major,"36 km al SUR de TECPAN, GRO"
1928-03-21,22:17:30,7.5,15.67,-96.1,33.0,OAX,12.0,major,"12 km al SURESTE de CRUCECITA, OAX"
1928-10-08,21:01:08,7.5,16.3,-97.3,33.0,OAX,35.0,major,"35 km al NORESTE de RIO GRANDE, OAX"
2012-03-20,12:02:48,7.5,16.264,-98.457,18.0,GRO,46.0,major,"46 km al SUR de OMETEPEC, GRO"
1908-03-26,17:03:30,7.5,16.7,-99.2,33.0,GRO,23.0,major,"23 km al SURESTE de SAN MARCOS, GRO"
1976-02-04,03:01:46,7.5,15.262,-89.198,13.0,CHIS,319.0,major,"319 km al ESTE de FRONTERA COMALAPA, CHIS"
1902-04-18,20:23:00,7.5,14.9,-91.5,25.0,CHIS,72.0,major,"72 km al ESTE de CACAHOATAN, CHIS"
1965-08-23,13:46:02,7.4,16.178,-95.877,12.0,OAX,53.0,major,"53 km al NORESTE de CRUCECITA, OAX"
1900-01-20,00:33:30,7.4,20.0,-105.0,33.0,JAL,71.0,major,"71 km al NOROESTE de AUTLAN DE NAVARRO, JAL"
2020-06-23,10:29:03,7.4,15.8033,-96.1337,22.8,OAX,4.0,major,"4 km al NORTE de CRUCECITA, OAX"
1999-09-30,11:31:13,7.4,16.056,-97.004,39.0,OAX,22.0,major,"22 km al NORESTE de PUERTO ESCONDIDO, OAX"
1921-02-04,02:22:44,7.4,15.0,-91.0,120.0,CHIS,125.0,major,"125 km al ESTE de CACAHOATAN, CHIS"
1943-02-22,03:20:45,7.4,17.6,-101.1,33.0,GRO,20.0,major,"20 km al NORESTE de PETATLAN, GRO"
1915-09-06,19:20:48,7.4,14.0,-89.0,80.0,CHIS,348.0,major,"348 km al ESTE de CD HIDALGO, CHIS"
1979-03-14,05:07:15,7.4,17.75,-101.263,25.0,GRO,24.0,major,"24 km al NORTE de PETATLAN, GRO"
1928-08-04,12:28:17,7.4,16.83,-97.61,33.0,OAX,49.0,major,"49 km al SUR de H TLAXIACO, OAX"
1937-12-23,07:17:58,7.4,17.1,-98.07,33.0,OAX,46.0,major,"46 km al SUROESTE de H TLAXIACO, OAX"
1968-08-02,08:06:37,7.3,16.6,-97.8,16.0,OAX,39.0,major,"39 km al NORESTE de PINOTEPA NACIONAL, OAX"
1995-09-14,08:04:33,7.3,16.752,-98.667,21.0,GRO,29.0,major,"29 km al NOROESTE de OMETEPEC, GRO"
1970-04-29,08:01:34,7.3,14.463,-92.683,44.0,CHIS,62.0,major,"62 km al SUROESTE de CD HIDALGO, CHIS"
1973-08-28,03:50:41,7.3,18.248,-96.551,82.0,VER,30.0,major,"30 km al SUROESTE de TIERRA BLANCA, VER"
1937-07-25,21:47:13,7.3,18.45,-96.08,85.0,VER,24.0,major,"24 km al NORTE de TRES VALLES, VER"
1935-12-14,16:05:17,7.3,14.75,-92.5,33.0,CHIS,31.0,major,"31 km al SUROESTE de TAPACHULA, CHIS"
2012-11-07,10:35:50,7.3,14.0272,-92.3155,17.1,CHIS,74.0,major,"74 km al SUR de CD HIDALGO, CHIS"
1981-10-24,21:22:16,7.3,18.088,-102.061,21.0,MICH,18.0,major,"18 km al NORESTE de LAS GUACAMAYAS, MICH"
1982-06-19,00:21:59,7.3,13.346,-89.368,74.0,CHIS,335.0,major,"335 km al SURESTE de CD HIDALGO, CHIS"
1914-03-29,18:41:18,7.2,17.0,-92.0,150.0,CHIS,14.0,major,"14 km al NORESTE de OCOSINGO, CHIS"
2010-04-04,17:40:42,7.2,32.47,-115.37,10.0,BC,23.0,major,"23 km al SURESTE de MEXICALI, BC"
1909-07-30,04:51:54,7.2,16.8,-99.9,33.0,GRO,8.0,major,"8 km al SUR de ACAPULCO, GRO"
1993-09-10,13:12:57,7.2,14.8,-92.687,34.0,CHIS,44.0,major,"44 km al SUROESTE de HUIXTLA, CHIS"
1964-07-06,01:22:13,7.2,18.03,-100.77,55.0,GRO,38.0,major,"38 km al SUROESTE de CD ALTAMIRANO, GRO"
2018-02-16,17:39:39,7.2,16.218,-98.0135,16.0,OAX,14.0,major,"14 km al SURESTE de PINOTEPA NACIONAL, OAX"
2014-04-18,09:27:21,7.2,17.011,-101.46,18.0,GRO,61.0,major,"61 km al SUROESTE de PETATLAN, GRO"
1950-12-14,08:15:50,7.2,17.22,-98.12,33.0,OAX,47.0,major,"47 km al OESTE de H TLAXIACO, OAX"
1950-10-23,10:13:20,7.2,14.3,-91.8,33.0,CHIS,56.0,major,"56 km al SURESTE de CD HIDALGO, CHIS"
1902-12-12,17:10:00,7.1,29.0,-114.0,33.0,BCS,115.0,major,"115 km al NORTE de GUERRERO NEGRO, BCS"
1905-12-16,23:27:00,7.1,17.0,-113.0,33.0,BCS,727.0,major,"727 km al SUROESTE de CABO SAN LUCAS, BCS"
2021-09-07,20:47:46,7.1,16.7553,-99.9533,15.0,GRO,14.0,major,"14 km al SUROESTE de ACAPULCO, GRO"
2017-09-19,13:14:39,7.1,18.3297,-98.6712,51.2,PUE,8.0,major,"8 km al NOROESTE de CHIAUTLA DE TAPIA, PUE"
1980-10-24,08:53:36,7.1,18.174,-98.222,65.0,PUE,19.0,major,"19 km al OESTE de ACATLAN DE OSORIO, PUE"
1997-01-11,14:28:26,7.1,18.34,-102.58,40.0,MICH,43.0,major,"43 km al NOROESTE de LA MIRA, MICH"
1996-02-24,21:08:19,7.1,15.88,-97.98,15.0,OAX,52.0,major,"52 km al SUR de PINOTEPA NACIONAL, OAX"
1995-10-20,20:38:58,7.1,16.811,-93.474,160.0,CHIS,12.0,major,"12 km al NOROESTE de OCOZOCOAUTLA, CHIS"
1940-05-18,22:36:41,7.1,32.7,-115.5,33.0,BC,5.0,major,"5 km al NOROESTE de MEXICALI, BC"
1962-05-11,08:11:57,7.1,17.25,-99.58,33.0,GRO,34.0,major,"34 km al SUR de CHILPANCINGO, GRO"
1906-04-10,15:18:00,7.1,20.0,-110.0,33.0,BCS,320.0,major,"320 km al SUR de CABO SAN LUCAS, BCS"
1944-06-28,01:58:54,7.1,15.0,-92.5,33.0,CHIS,16.0,major,"16 km al SUR de HUIXTLA, CHIS"
1934-12-31,12:45:45,7.1,32.0,-114.75,33.0,BC,46.0,major,"46 km al SURESTE de GPE VICTORIA(KM.43), BC"
1907-10-16,08:57:18,7.1,28.0,-112.5,10.0,BCS,77.0,major,"77 km al NOROESTE de SANTA ROSALIA, BCS"
1934-11-29,20:05:16,7.0,19.0,-105.31,33.0,JAL,83.0,major,"83 km al SUROESTE de CIHUATLAN, JAL"
1925-11-16,05:54:54,7.0,18.0,-107.0,33.0,JAL,291.0,major,"291 km al SUROESTE de CIHUATLAN, JAL"
1908-03-26,21:45:30,7.0,17.0,-101.0,33.0,GRO,46.0,major,"46 km al SUROESTE de TECPAN, GRO"
1916-06-02,07:59:24,7.0,17.5,-95.0,150.0,VER,42.0,major,"42 km al SUR de SAYULA DE ALEMAN, VER"
1982-06-07,04:59:40,7.0,16.516,-98.339,19.0,GRO,20.0,major,"20 km al SURESTE de OMETEPEC, GRO"
1901-12-08,20:17:00,7.0,26.0,-110.0,33.0,SIN,83.0,major,"83 km al OESTE de AHOME, SIN"
1986-04-30,01:07:19,7.0,18.361,-103.045,22.0,MICH,48.0,major,"48 km al SUR de COALCOMAN, MICH"
1954-04-29,05:34:34,7.0,28.5,-113.0,33.0,BCS,120.0,major,"120 km al NORESTE de GUERRERO NEGRO, BCS"
1925-12-10,08:14:42,7.0,15.5,-92.5,33.0,CHIS,31.0,major,"31 km al NOROESTE de MOTOZINTLA, CHIS"
1915-11-20,18:13:22,7.0,32.0,-115.0,10.0,BC,33.0,major,"33 km al SURESTE de GPE VICTORIA(KM.43), BC"
1912-12-09,02:32:24,7.0,15.5,-93.0,33.0,CHIS,13.0,major,"13 km al NOROESTE de MAPASTEPEC, CHIS"
1951-12-11,19:37:34,7.0,17.0,-94.5,100.0,OAX,59.0,major,"59 km al ESTE de MATIAS ROMERO, OAX"
1950-09-29,00:32:20,7.0,19.0,-107.0,60.0,JAL,257.0,major,"257 km al SUROESTE de PUERTO VALLARTA, JAL"
2000-08-09,06:41:47,7.0,17.99,-102.66,16.0,MICH,35.0,major,"35 km al OESTE de LA MIRA, MICH"
1902-01-16,17:19:00,7.0,17.62,-99.72,33.0,GRO,21.0,major,"21 km al OESTE de ZUMPANGO DEL RIO, GRO"
1948-01-06,11:25:58,7.0,17.0,-98.0,80.0,OAX,45.0,major,"45 km al SUROESTE de H TLAXIACO, OAX"
1983-12-01,21:09:04,7.0,14.032,-91.956,35.0,CHIS,75.0,major,"75 km al SURESTE de CD HIDALGO, CHIS"
1962-05-19,08:58:10,7.0,17.12,-99.57,33.0,GRO,41.0,major,"41 km al NOROESTE de SAN MARCOS, GRO"
1999-06-15,15:42:04,7.0,18.133,-97.539,63.0,PUE,29.0,major,"29 km al SUROESTE de S GABRIEL CHILAC, PUE"
1935-06-29,00:48:54,6.9,18.75,-103.5,33.0,MICH,36.0,strong,"36 km al OESTE de COALCOMAN, MICH"
1909-07-31,12:43:10,6.9,16.62,-99.45,33.0,GRO,20.0,strong,"20 km al SUROESTE de SAN MARCOS, GRO"
2014-07-07,06:23:59,6.9,14.6502,-92.5572,56.7,CHIS,43.0,strong,"43 km al SUROESTE de TAPACHULA, CHIS"
1937-10-06,03:47:18,6.9,17.78,-99.17,100.0,GRO,20.0,strong,"20 km al NORTE de CHILAPA DE ALVAREZ, GRO"
1908-10-12,23:06:00,6.9,18.0,-102.0,33.0,MICH,23.0,strong,"23 km al ESTE de LAS GUACAMAYAS, MICH"
1982-06-07,00:52:33,6.9,16.424,-98.253,6.0,OAX,23.0,strong,"23 km al NOROESTE de PINOTEPA NACIONAL, OAX"
1912-11-19,07:55:07,6.9,19.93,-99.83,33.0,MEX,15.0,strong,"15 km al NORESTE de ATLACOMULCO, MEX"
1932-06-22,06:59:28,6.9,18.74,-104.68,33.0,COL,52.0,strong,"52 km al SUROESTE de MANZANILLO, COL"
1917-12-29,16:50:20,6.9,15.0,-97.0,33.0,OAX,96.0,strong,"96 km al SUR de PUERTO ESCONDIDO, OAX"
1979-06-22,00:30:57,6.9,17.014,-94.605,115.0,OAX,49.0,strong,"49 km al NORESTE de MATIAS ROMERO, OAX"
1932-07-25,03:12:46,6.9,18.87,-103.93,33.0,COL,7.0,strong,"7 km al SUROESTE de TECOMAN, COL"
1933-05-08,04:33:40,6.9,17.5,-101.0,33.0,GRO,29.0,strong,"29 km al ESTE de PETATLAN, GRO"
2017-06-14,02:29:04,6.9,14.7282,-92.3167,107.1,CHIS,19.0,strong,"19 km al NOROESTE de CD HIDALGO, CHIS"
1946-07-10,22:46:42,6.9,17.0,-94.5,130.0,OAX,59.0,strong,"59 km al ESTE de MATIAS ROMERO, OAX"
1948-01-06,11:23:36,6.9,17.0,-98.0,80.0,OAX,45.0,strong,"45 km al SUROESTE de H TLAXIACO, OAX"
1948-12-03,18:22:48,6.9,22.0,-106.5,33.0,NAY,116.0,strong,"116 km al SUROESTE de TECUALA, NAY"
1955-09-26,02:28:20,6.9,15.5,-92.5,200.0,CHIS,31.0,strong,"31 km al NOROESTE de MOTOZINTLA, CHIS"
2022-09-22,01:16:08,6.9,18.0108,-103.155,8.0,MICH,85.0,strong,"85 km al SUR de COALCOMAN, MICH"
1997-05-01,06:37:36,6.9,18.96,-107.15,15.0,JAL,272.0,strong,"272 km al SUROESTE de PUERTO VALLARTA, JAL"
1960-07-13,10:23:56,6.9,17.0,-94.5,150.0,OAX,59.0,strong,"59 km al ESTE de MATIAS ROMERO, OAX"
